"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","choices","target","block","task","accuracy"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","",""
"fullscreen","1","3510","0.0-1.0","","true","","","","","","","","",""
"audio-button-response","2","16769","0.0-2.0","","","13153.399999999918","audio/instructions_practice.mp3","0","","","","","",""
"audio-keyboard-response","3","20182","0.0-3.0","","","null","audio/instructions_waitpicture.mp3","","null","","","","",""
"html-button-response","4","22976","0.0-4.0-0.0","","","2691.1150000000853","","0","","","","","",""
"audio-button-response","5","25081","0.0-4.0-1.0-0.0","","","null","audio/footrecording1.mp3","null","","","","","",""
"audio-button-response","6","30042","0.0-4.0-1.0-1.0","","","4855.939999999915","audio/footrecording2.mp3","0","","pol_images/foot.jpg,pol_images/neck.jpg,pol_images/shoulder.jpg,pol_images/hand.jpg","pol_images/foot.jpg","intro","polysemy","true"
"audio-keyboard-response","7","33145","0.0-4.0-2.0","","","null","audio/answer-correct.mp3","","null","","","","",""
"html-button-response","8","37352","0.0-4.0-0.1","","","4103.43499999999","","0","","","","","",""
"audio-button-response","9","39456","0.0-4.0-1.1-0.1","","","null","audio/busrecording1.mp3","null","","","","","",""
